,X,Y,labels,corpus,value
165,8.768254,-0.5468199,7,corpus/joe farrell upon this rock.wav,0.15
166,6.539576,1.109323,5,corpus/joe tex papa was too.wav,0.15
167,9.392341,-0.59719545,17,corpus/JOEDROUKAS-SLEEPWITHONEEYEOPEN.wav,0.15
168,9.934088,-0.9036293,18,corpus/JoeJacksonBand---TakeItLIkeAMan.wav,0.15
169,5.985708,1.580431,6,corpus/JOETEX_YOUSAIDABADWORD.wav,0.15
170,-2.5781872,-0.64478135,23,corpus/john-dankworth-modesty-blise.wav,0.15
171,-1.226926,0.6284032,-1,corpus/johnfredkeepithid.wav,0.15
172,-2.8791325,0.20327178,-1,corpus/JOHNMURTAUGH_SINEWAVEISCONNECTEDTOTHEPULSEWAVE.wav,0.15
173,-5.836654,-0.9830506,25,corpus/JOHNNYHAMMOND_SUMMERTIME.wav,0.15
174,-1.6826093,-0.6417943,23,corpus/JOHNNYK_COMEOUT.wav,0.15
175,-2.2797127,2.6488073,11,corpus/JOHNNYVENTURA_HOMEJADEAPRUDI.wav,0.15
176,-5.8440423,-0.96469724,25,corpus/jonnyhammond(summertime).wav,0.15
177,11.610293,-2.4048626,0,corpus/JUANMARCELO_UNPOCOCOMOTODOS.wav,0.15
178,-3.267698,-1.4177499,24,corpus/juniormancethankyoufalletinmebemiceelfagin.wav,0.15
179,0.51929504,0.62729186,3,corpus/kazablan-01.wav,0.15
180,10.949626,-2.362327,0,corpus/kcsunshinebandwhatmakesyouhappy.wav,0.15
181,0.13459766,1.9210955,-1,corpus/KEEMOSABE_RAINDANCE.wav,0.15
182,8.144126,0.56813776,19,corpus/Kick Back - The Bueno Vistas.wav,0.15
183,8.205497,0.8454133,-1,corpus/KINGCRIMSON_ASBURYPARK.wav,0.15
184,5.7643514,2.0836093,6,corpus/kool & the gang give it up (2).wav,0.15
185,5.842933,2.1322658,6,corpus/kool & the gang jungle jazz.wav,0.15
186,12.092483,-2.7792845,1,corpus/koolngang(riderythem).wav,0.15
187,10.0623665,-0.94687504,18,corpus/lafayette afro band hihache.wav,0.15
188,-3.3614488,0.5361756,22,corpus/lamont dozier (out here) break.wav,0.15
189,-5.889535,-0.88107336,25,corpus/lamont dozier(sightsoreeyes).wav,0.15
190,-0.22363484,0.46641904,2,corpus/LAPREGUNTA_SHANGRILA.wav,0.15
191,-2.8774548,-1.1015266,-1,corpus/LARRYCORYELL_TYRONE.wav,0.15
192,-0.1437495,0.39110535,2,corpus/LARRYYOUNGS'FUEL_STICKYWICKET.wav,0.15
193,-0.19090329,2.2091908,27,corpus/LEDZEPPELIN_THECRUNGE.wav,0.15
194,-0.12768038,0.8645554,-1,corpus/lee dorsey sneakin sally.wav,0.15
195,-3.1408412,0.8434195,22,corpus/LEROYHUTSON_ALLBECAUSEOFYOU.wav,0.15
196,-2.1347535,1.8140895,12,corpus/les humphries singers put your hand in the hand.wav,0.15
197,-4.2360954,-0.8020103,28,corpus/lescrane2.wav,0.15
198,5.927713,2.136853,6,corpus/LEVERTALLISON_SUGARDADDY.wav,0.15
199,7.4323363,1.0586296,9,corpus/lindaevansdontyouneed.wav,0.15
200,8.75599,0.15344025,20,corpus/little richard the rill thing.wav,0.15
201,-0.11302289,2.4125962,27,corpus/lonnie smith spinning wheel 2.wav,0.15
202,-1.7568836,2.9739642,-1,corpus/lonnie smith spinning wheel 4.wav,0.15
203,0.21857919,1.5174536,16,corpus/LONNIESMITH_SPINNINGWHEEL(2).wav,0.15
204,10.070312,-0.61193085,18,corpus/lorrainejohnsonimlearningtodancealloveragain.wav,0.15
205,0.004650023,1.4541925,-1,corpus/lou rawls lifetime monologue.wav,0.15
206,-1.7043258,-0.58597684,23,corpus/LOVE_DOGGONE(LONGVG-).wav,0.15
207,7.6762567,1.3285297,8,corpus/LOVE_doggone2.wav,0.15
208,-3.8791647,0.3355851,21,corpus/loveunlimitedorchestrayourealliwant.wav,0.15
209,-2.4688501,1.9646927,12,corpus/LOWELLGEORGE_TWOTRAINS.wav,0.15
210,-3.1701584,-1.356544,24,corpus/LYNCOLLINS_THINK(EDIT).wav,0.15
211,10.070504,-0.6494945,18,corpus/mahoganyrushlandof1000nights.wav,0.15
212,7.730637,0.95495945,9,corpus/manzel midnight theme.wav,0.15
213,-5.143481,-1.2952956,30,corpus/mariano.wav,0.15
214,8.891764,0.06641645,20,corpus/MarkColby-SerpentineFire.wav,0.15
215,-1.162593,2.078837,14,corpus/marlena shaw california soul.wav,0.15
216,5.889433,2.1115842,6,corpus/marva whitney unwind yourself.wav,0.15
217,8.563602,1.0901724,10,corpus/MARY_ROOS_ich_hoer_dich_leuten.wav,0.15
218,0.52122104,1.4837147,16,corpus/MASONPROFFIT_OLDJOECLARK.wav,0.15
219,7.9908547,0.48020548,-1,corpus/MCDONALD&GILES_TOMORROW'SPEOPLE.wav,0.15
220,-2.2745328,-1.2323552,23,corpus/melvin bliss synthetic substitution.wav,0.15
221,-1.3628484,0.20321104,13,corpus/message.wav,0.15
222,-2.4222312,-0.8600113,23,corpus/MIAMI_CHICKENYELLOW.wav,0.15
223,-3.2688086,-1.4051822,24,corpus/MICHAELJACKSON_BILLIEJEAN.wav,0.15
224,0.17312936,2.3373115,26,corpus/MICHAELNESMITH_HELLOLADY.wav,0.15
225,5.901277,1.4049929,6,corpus/MICHELLEWALLACETEE'SRIGHT.wav,0.15
226,0.42775962,0.5895722,3,corpus/MIKEVERNON_STORMYGROUND.wav,0.15
227,-1.4800674,0.010004129,13,corpus/milliejacksonwegottihititoff.wav,0.15
228,10.240393,-0.83135474,18,corpus/MisterFunk.wav,0.15
229,10.352733,-0.64047223,18,corpus/MONGO SANTAMARIA-DOG.wav,0.15
230,-1.3862028,0.06274246,13,corpus/monone library2.wav,0.15
231,0.7263725,0.81061274,3,corpus/MOOGGROOVEFEELINALRIGHT.wav,0.15
232,-5.1438613,-1.3438724,30,corpus/MOTHERLODE_SOFTSHELL.wav,0.15
233,9.639181,-0.6396962,17,corpus/MOUNTAIN_SATISFACTION.wav,0.15
234,-5.0321727,-1.7675022,29,corpus/MUDDYWATERS_I'MAMAN.wav,0.15
235,0.49268657,2.438343,26,corpus/nakedapearnie's.wav,0.15
236,-2.0482993,-1.2022251,23,corpus/NEVADAJUKEBOX_CALLINYOUDOWN.wav,0.15
237,8.827237,0.042475715,20,corpus/new birth i wash my hands of the whole damn deal (pt.1).wav,0.15
238,-1.2112149,2.1012208,14,corpus/NEWYORKROCK&ROLLENSEMBLE_FAITHFULFRIENDS.wav,0.15
239,0.7043417,0.7787547,3,corpus/niagara sangandongo 2.wav,0.15
240,12.079758,-2.766215,1,corpus/niteliters(drumology).wav,0.15
241,-1.4099149,1.0420359,-1,corpus/ODYSSEY5_STOPIDONTNEEDNOSYMPATHY.wav,0.15
242,-2.3495488,-0.9739611,23,corpus/OHLUCKYMANOST_SELLSELL.wav,0.15
243,-4.2951055,-1.2187055,-1,corpus/OJIJI.wav,0.15
244,8.319454,0.30208063,19,corpus/one way cutie pie.wav,0.15
245,-2.7406528,1.6517823,12,corpus/orange krush action (3).wav,0.15
246,0.12269891,1.9664038,-1,corpus/OSIBISA-MUSICFORGONGONG.wav,0.15
247,-3.4874032,-1.3505762,24,corpus/OTISREDDING_GOTTOGETMYSELFTOGETHER.wav,0.15
248,6.346956,0.97919077,5,corpus/PARISOUTLAWGAME.wav,0.15
249,-1.8138655,-1.0314415,23,corpus/PASSION_INNEWYORK.wav,0.15
250,-0.2857849,0.35839155,2,corpus/Pat Terry Drums.wav,0.15
251,5.4936457,1.9841202,6,corpus/paul nero this is soul.wav,0.15
252,-3.7849357,-0.023148678,21,corpus/PAULMAURIAT_IHEARDITTHROUGHTHEGRAPEVINE.wav,0.15
253,-0.5171115,2.0246034,-1,corpus/peggylee_sittingonthedockofthebay.wav,0.15
254,11.043171,-2.328556,0,corpus/PEOPLESCHOICE_TURNMELOOSE.wav,0.15
255,5.927866,1.6300699,6,corpus/please sing a simple song.wav,0.15
256,-2.1435316,2.9362803,11,corpus/PLEASURE.wav,0.15
257,9.502129,-0.4351695,17,corpus/POSITIVEFORCE_PEOPLEGETONUP.wav,0.15
258,10.07632,-1.0645393,18,corpus/Prancai.wav,0.15
259,5.5360065,1.9615946,6,corpus/PRETTYPURDIEHEAVYSOULSLINGER.wav,0.15
260,-1.7823408,-0.77190614,23,corpus/procol harum she wandered through the garden fence.wav,0.15
261,-2.0949056,2.9583366,11,corpus/Q65 GET OUT OF MY LIFE WOMAN.wav,0.15
262,10.269824,-0.73074067,18,corpus/QUEEN-JAZZ.wav,0.15
263,-3.2679524,0.71389735,22,corpus/RAMSEYLEWIS_BACKINTHEUSSR.wav,0.15
264,9.426389,-0.37042475,17,corpus/RAY BROWN-GOODDAY SUNSHINE.wav,0.15
265,5.5558233,1.9739716,6,corpus/ray charles never ending song of love.wav,0.15
266,-0.15700778,0.4140121,2,corpus/repent_walpurgis.wav,0.15
267,-0.36610162,2.1045907,-1,corpus/rhythmheritagebarrettastheme.wav,0.15
268,-0.040240776,2.3149366,27,corpus/rhythmheritageblockbuster2.wav,0.15
